Destination IP,Packets
2401:4900:1c29:6378:1164:e5b6:c9c0:b852,1992
192.168.1.49,633
192.168.1.1,402
fe80::2a:7812:f069:1a69,363
fe80::1,318
2606:4700:83b2:7cbc:c2fd:4b1:5ff2:75c4,286
2404:6800:4007:830::200a,99
2606:4700:83b3:ce32:c5fe:5:2d49:6da5,77
2001:4860:4828:7700::,73
2606:4700:83b3:c0c9:e8fe:4b0:1768:85e2,62
2404:6800:4007:836::200a,61
2404:6800:4007:832::2003,57
65.2.206.242,55
2404:6800:4007:836::200e,55
2404:6800:4007:815::200e,50
2404:6800:4000:101f::5e,43
2404:6800:4009:820::200a,42
2001:4860:482d:7700::,39
2600:1901:0:47fc::,37
2404:6800:4000:1010::5e,37
2404:6800:4000:1025::5d,36
3.7.157.147,31
2607:f8b0:4004:1007::5e,30
2404:6800:4007:83a::200e,29
34.54.84.110,26
34.130.135.16,25
2603:1040:a06:3::13,24
2a03:2880:f36a:120:face:b00c:0:167,21
2404:6800:4013:813::5f,20
2606:4700:83b1:d8b7:9a3b:4b1:ccf5:ac50,20
2001:4860:4802:32::223,20
172.66.0.145,19
2404:6800:4009:805::200a,17
51.105.71.137,17
2404:6800:4007:80f::200a,17
2404:6800:4002:81d::200e,16
13.107.137.11,15
2600:140f:9800::17c8:ee10,15
2a03:2880:f368:120:face:b00c:0:167,14
2404:6800:4007:801::2003,14
52.105.246.41,13
2606:4700:8392:883b:1039:1:6810:6670,12
239.255.255.250,12
52.182.143.208,12
2404:6800:4000:1025::66,12
23.109.135.100,11
2406:2000:e4:1604::1000,11
2a00:1450:4025:1803::5e,11
2404:6800:4009:803::200e,10
172.241.7.206,10
2404:6800:4009:820::2003,9
2404:6800:4003:c00::bc,9
2404:6800:4000:1017::12,8
2603:1010:3:b::17,8
52.42.28.149,8
2404:6800:4007:810::200e,8
2406:2000:e4:1604::1001,8
2606:4700:83b1:d8b7:9afd:623:ccf5:ac50,7
140.82.114.26,6
2606:4700:83b9:9cc3:37fe:5:db5e:f10d,6
2606:4700:83b2:883b:103b:5:6810:6670,6
2404:6800:4009:81a::200e,6
2600:140f:9800::17c8:ee81,6
23.15.34.107,6
34.51.10.38,5
2603:1040:a06:6::2,5
2404:6800:4000:1025::54,5
2404:6800:4002:817::2005,4
4.224.112.242,4
2404:6800:4007:83d::200e,3
2603:1046:c06:897::2,3
2603:1046:c04:1049::2,3
ff02::1:ff63:4dd5,3
2606:4700:83b2:7cbc:c2fd:5:5ff2:75c4,3
20.201.192.56,2
ff02::2,2
ff02::1,1
192.168.1.255,1
