Domain,Queries
ssl.gstatic.com.,18
beacons.gcp.gvt2.com.,12
signaler-pa.clients6.google.com.,9
196672-ipv4mte.gr.global.aa-rt.sharepoint.com.,8
www.msftconnecttest.com.,8
villagybullion.cyou.,6
www.yahoo.com.,6
www.youtube.com.,6
196672-ipv4fdsmte.gr.global.aa-rt.sharepoint.com.,6
docs.google.com.,6
play.google.com.,6
catalog.gamepass.com.,6
ipv6.msftconnecttest.com.,4
mobile.events.data.microsoft.com.,4
waa-pa.clients6.google.com.,3
placenet.myfreshworks.com.,3
accounts.youtube.com.,3
beacons.gvt2.com.,3
e2c80.gcp.gvt2.com.,3
a.nel.cloudflare.com.,3
b1.nel.goog.,3
beacons2.gvt2.com.,3
google.com.,3
nel.ap-south-1.freshedge.net.,3
chatgpt.com.,3
sdmntprwestus3.oaiusercontent.com.,3
clients4.google.com.,3
drivefrontend-pa.clients6.google.com.,3
tasks.google.com.,3
drive.google.com.,3
