Port,Service,Packets
443,HTTPS,1718
53,DNS,720
60752,Unknown,669
35808,Unknown,69
59268,Unknown,68
61933,Unknown,62
60080,Unknown,59
25464,Unknown,54
52886,Unknown,49
57086,Unknown,39
35555,Unknown,32
9033,Unknown,27
53163,Unknown,26
3185,Unknown,26
64210,Unknown,26
1044,Unknown,24
55761,Unknown,24
63159,Unknown,24
61754,Unknown,23
45807,Unknown,23
64772,Unknown,23
1717,Unknown,22
37840,Unknown,22
64277,Unknown,22
59895,Unknown,21
52296,Unknown,21
63881,Unknown,21
65441,Unknown,20
52176,Unknown,20
54770,Unknown,19
14989,Unknown,18
57497,Unknown,18
57068,Unknown,18
55763,Unknown,17
64012,Unknown,17
35809,Unknown,17
56805,Unknown,17
53888,Unknown,17
6134,Unknown,16
11495,Unknown,16
51723,Unknown,16
58502,Unknown,16
57083,Unknown,15
52693,Unknown,15
65272,Unknown,15
5256,Unknown,15
61153,Unknown,15
39364,Unknown,14
14010,Unknown,14
18564,Unknown,14
59028,Unknown,14
62654,Unknown,14
60832,Unknown,14
56696,Unknown,14
49981,Unknown,14
49764,Unknown,13
51702,Unknown,13
52883,Unknown,13
54071,Unknown,13
32691,Unknown,12
9758,Unknown,12
1900,Unknown,12
80,HTTP,12
60817,Unknown,12
64581,Unknown,12
53194,Unknown,12
61037,Unknown,12
58676,Unknown,12
50860,Unknown,12
64547,Unknown,11
40295,Unknown,11
56555,Unknown,11
60108,Unknown,10
3578,Unknown,10
63271,Unknown,10
64125,Unknown,10
38510,Unknown,9
50112,Unknown,9
11497,Unknown,9
5228,Unknown,9
63348,Unknown,9
60051,Unknown,8
40292,Unknown,8
53409,Unknown,7
53974,Unknown,7
13229,Unknown,7
38404,Unknown,7
10740,Unknown,7
9263,Unknown,7
2451,Unknown,7
23173,Unknown,7
23182,Unknown,7
22467,Unknown,7
3032,Unknown,7
32737,Unknown,7
5118,Unknown,7
64032,Unknown,7
56421,Unknown,7
15969,Unknown,7
20990,Unknown,7
60697,Unknown,7
53941,Unknown,7
18488,Unknown,7
28690,Unknown,7
46535,Unknown,7
65382,Unknown,7
22277,Unknown,7
15707,Unknown,7
8092,Unknown,7
58919,Unknown,7
45050,Unknown,7
29984,Unknown,7
30198,Unknown,7
9528,Unknown,7
46410,Unknown,7
48314,Unknown,7
11579,Unknown,7
5255,Unknown,7
15234,Unknown,7
8537,Unknown,7
7334,Unknown,7
50187,Unknown,7
21765,Unknown,7
62002,Unknown,7
49812,Unknown,7
22672,Unknown,7
13122,Unknown,7
57067,Unknown,7
60824,Unknown,7
41970,Unknown,7
59936,Unknown,7
45789,Unknown,7
15791,Unknown,7
25144,Unknown,7
56304,Unknown,5
1477,Unknown,5
35374,Unknown,5
29417,Unknown,5
63118,Unknown,5
27231,Unknown,5
15486,Unknown,5
18374,Unknown,5
14059,Unknown,5
59740,Unknown,5
38907,Unknown,5
43039,Unknown,5
61727,Unknown,5
6027,Unknown,5
62192,Unknown,5
9579,Unknown,5
10389,Unknown,5
11812,Unknown,5
21518,Unknown,5
35341,Unknown,5
38190,Unknown,5
34083,Unknown,5
11836,Unknown,5
16815,Unknown,5
64849,Unknown,5
44337,Unknown,5
9368,Unknown,5
49987,Unknown,5
36477,Unknown,5
13445,Unknown,5
47064,Unknown,5
35807,Unknown,5
61519,Unknown,5
7834,Unknown,5
62874,Unknown,5
37582,Unknown,5
42225,Unknown,5
40291,Unknown,5
40293,Unknown,5
40294,Unknown,5
32833,Unknown,5
20578,Unknown,5
11537,Unknown,5
53771,Unknown,5
10949,Unknown,5
44537,Unknown,5
54715,Unknown,5
6802,Unknown,5
47290,Unknown,5
21104,Unknown,5
8488,Unknown,5
60367,Unknown,5
3690,Unknown,5
44695,Unknown,5
57615,Unknown,5
11348,Unknown,5
58861,Unknown,5
11186,Unknown,5
40509,Unknown,5
47954,Unknown,5
26934,Unknown,5
52081,Unknown,5
55416,Unknown,5
26295,Unknown,5
51209,Unknown,5
5488,Unknown,5
28684,Unknown,5
54643,Unknown,5
13794,Unknown,5
2137,Unknown,5
26240,Unknown,4
53795,Unknown,4
40345,Unknown,4
10778,Unknown,4
3130,Unknown,4
34875,Unknown,4
43792,Unknown,4
30378,Unknown,4
26251,Unknown,4
58049,Unknown,4
46365,Unknown,3
35780,Unknown,3
1105,Unknown,3
39565,Unknown,3
6448,Unknown,3
61396,Unknown,3
27961,Unknown,3
49726,Unknown,3
60435,Unknown,3
65056,Unknown,2
57936,Unknown,2
51727,Unknown,2
59542,Unknown,2
49664,Unknown,2
49665,Unknown,2
17494,Unknown,1
49503,Unknown,1
61398,Unknown,1
52353,Unknown,1
138,Unknown,1
